tt0475394,Smokin' Aces
tt0240890,Serendipity
tt0401445,A Good Year
tt0457400,Land of the Lost
tt1240982,Your Highness
tt2294449,22 Jump Street
tt1490017,The Lego Movie
tt0462590,Step Up
tt1862079,Safety Not Guaranteed
tt0396555,Meet the Robinsons
tt0377109,The Ring 2
tt0324216,The Texas Chainsaw Massacre
tt0103776,Batman Returns
tt0106697,Demolition Man
tt0058150,Goldfinger
tt0081573,Superman II
tt1142988,The Ugly Truth
tt1032755,RocknRolla
tt0473705,State of Play
tt1034389,The Eagle
tt1915581,Magic Mike
tt0116629,Independence Day
tt0116922,Lost Highway
tt0105665,Twin Peaks: Fire Walk with Me
tt0263488,Jeepers Creepers
tt1226273,Edge of Darkness
tt0185937,The Blair Witch Project
tt0218967,The Family Man
tt0251075,Evolution
tt0230030,Bedazzled
tt0118655,Austin Powers: International Man of Mystery
tt0122933,Analyze This
tt0098635,When Harry Met Sally...
tt0102492,My Girl
tt0104070,Death Becomes Her
tt0298203,8 Mile
tt0333766,Garden State
tt0210945,Remember the Titans
tt1343727,Dredd
tt1193138,Up in the Air
tt1288558,Evil Dead
tt0960144,You Don't Mess with the Zohan
tt1375670,Grown Ups
tt0306047,Scary Movie 3
